study_hours_wk,sleep_hours,lms_activity_rate,attendance_rate,assignments_on_time_rate,procrastination_index,self_efficacy,stress,internet_quality,part_time_job_hours,commute_min,social_support,screen_time_nonstudy_hr,extracurricular_hours,habit_consistency,age,credits_enrolled,year_of_study,lms_quiz_rate,lms_forum_rate,lms_resource_rate,lms_submission_rate,attendance_lecture,attendance_lab,cluster_label_true,major,primary_device,internet_type,cohort
15.648610162674746,7.94365672595313,74.1500276566841,72.54227687602085,87.36625953056557,47.0303123092749,51.87388946169423,38.78246541403166,81.4109352904836,3.821409336388653,28.442800804140496,64.67278820314736,1.4752642911170897,5.023238206908971,64.216822722679,19.32015671008146,22.50044769694943,3.096961320348527,77.19032327937585,30.57519362881058,59.03105591324675,75.34177742857838,83.16004156383663,87.91103879612581,A,Administración,Laptop,Fibra,2024
13.006381926527737,7.40393758160808,63.20686026508221,69.97099914197572,89.78144982877615,48.267403918107306,55.63985241940385,41.082121716682366,81.9661181751797,3.4665845567409637,25.68704185341796,59.7339911457504,1.925676026839757,4.508297777717431,65.87541493480784,19.38596705104447,22.9123463579273,3.0402930684603766,76.9450676297169,37.44355197794216,52.743923261934114,80.55814295748497,89.48369721870141,92.40604494225903,A,Industrial,Smartphone,Fibra,2022
15.271103342667626,7.848895585936543,69.70731947025077,74.73362261045416,94.04642645858382,48.441977498759016,48.93704887198126,37.970351947076495,86.45666934569459,3.029042997078421,28.580952833359092,60.40545443700746,1.818766795290534,4.444608116565467,62.16107959133652,19.355206321037677,22.592838457472,2.8151016707924414,77.84375954670858,30.540117367627293,58.62017600524045,80.97255641008645,82.04915288545612,90.44002208423004,A,Industrial,Smartphone,DSL,2025
12.299689945726138,7.516911861721584,71.89675858154169,72.68315041159994,98.63493456921634,47.564423876910894,53.122897269760365,39.58954382092937,86.15848863802687,1.5241650294853668,28.958255387381584,62.36241034506942,1.6262539004647805,4.629080395090279,64.36263420553075,18.967857336911234,24.1373042920905,2.945449421616857,77.14327947239633,37.782611583418934,54.998315050979855,84.47848186681824,85.51414168288026,94.17677056763304,A,Psicología,Laptop,Móvil,2024
14.28350833472209,7.487901277513056,64.03148304312816,74.63747901219442,89.36077398951,49.85564419176412,50.66065299355549,41.24956907609095,83.50125588670461,3.3597930651713597,28.320715332707316,58.61962421003241,1.9815649084926457,4.7303840880189645,63.18943624534732,19.4199248242979,21.8974287583023,3.006531592536892,74.83066965420358,34.30688919053283,57.99251907467041,79.91908383919589,83.09456018833232,89.41570156645331,A,Industrial,Desktop,Fibra,2022
16.253913875204848,7.820293870054109,65.97859258178167,70.92856206162226,92.27798947602149,49.515529225944185,48.66350118528994,35.84121347681209,88.01031706977881,2.9192674502423244,28.274884190517575,59.75597147895537,1.823494057716844,4.349985171971493,62.51565340839588,18.99300648453746,23.226499801218846,2.908462572901643,78.98342073448708,28.339526272239304,55.27791037571786,77.59890871221293,81.94405273527887,90.37879214655436,A,Psicología,Tablet,DSL,2025
15.28034728648618,7.664436650515463,69.05434250556036,70.48356174309305,93.12439760285203,49.01643376395205,49.868652905039724,39.16162003938402,83.29612416821725,3.204310295844693,27.96004330213826,60.28093705830236,1.5875629696643918,4.401302045570903,64.0196101110515,19.260539365191537,22.72895936124199,2.910549601027872,76.78746402031324,29.877388201923004,58.05625343265095,77.19113219695433,82.41080862663,91.27133805940838,A,Sistemas,Smartphone,DSL,2025
14.43036822405419,7.73996576881067,66.91498772912355,76.85367080371526,91.22562715296823,48.545718789633185,50.88733739441237,39.04371326355739,87.665871484777,2.5936263422438843,29.712635552798936,61.00192814334568,1.9562108274376553,4.814147183780709,61.756376980836436,19.26273212018454,22.396437756485327,2.976493973210597,77.43612442502152,35.63223107269842,57.31502448276683,82.35286074289351,82.98659171980667,88.92620354545319,A,Sistemas,Smartphone,Móvil,2024
14.626777837206737,7.5707400471747714,73.1679058392245,75.14832014276605,95.73754628992477,51.020788939071544,47.643299815244625,38.1264530286343,84.02387413967321,2.543637240538079,28.293448007802986,59.29155047790291,2.2451629933148327,4.167179787809325,60.81648278799871,18.803059774958832,23.11615848151432,2.816781193721225,72.18764250809164,27.20571785104932,63.350384879912816,80.98244847152898,78.41125793158376,90.17166728816632,A,Industrial,Laptop,Cable,2023
13.997256063925205,7.375050985491889,70.25525250466694,69.97646780299486,93.02724522771534,50.30808903279953,51.108284845992436,40.28196774960405,80.244946327769,3.0158210154544762,26.96897085657606,59.73717262951687,1.8850347045410134,4.324493318680004,64.32375828182991,18.947929988742416,23.190785335602634,2.980946953829282,72.80050509540766,30.118610550309423,59.472509741585455,77.65290766993667,82.44144161844461,91.68614289976745,A,Sistemas,Tablet,Fibra,2022
